iter	Logloss
0	0.6817323386
1	0.6706272687
2	0.6593564377
3	0.6486742811
4	0.63875113
5	0.6278373389
6	0.6179559427
7	0.6083957544
8	0.5987091745
9	0.5900286459
10	0.5816778106
11	0.5732143949
12	0.5642734135
13	0.5563567217
14	0.5482347136
15	0.5397111415
16	0.5324795251
17	0.5249080472
18	0.5174083171
19	0.5102652842
20	0.5036782472
21	0.4967813529
22	0.4907980717
23	0.4841413609
24	0.4779435181
25	0.4714742479
26	0.4656598693
27	0.4593749606
28	0.4536491237
29	0.4489841698
30	0.4435580094
31	0.4386152507
32	0.4333066447
33	0.4283009727
34	0.4234755352
35	0.4184269375
36	0.4139395046
37	0.4092645007
38	0.4043123033
39	0.4000134668
40	0.3959776425
41	0.3923802836
42	0.3884073197
43	0.3844666101
44	0.3808988709
45	0.3773569294
46	0.3737028837
47	0.3706451124
48	0.3666383572
49	0.3629644342
50	0.3600788443
51	0.3570407824
52	0.3541710398
53	0.3514874375
54	0.3480740592
55	0.3451174899
56	0.3425148447
57	0.3396806217
58	0.33721608
59	0.3347660719
60	0.3318912006
61	0.329529268
62	0.3272398346
63	0.3247418441
64	0.3222799271
65	0.3202160595
66	0.3177922487
67	0.3156592392
68	0.313135324
69	0.3111414729
70	0.3088862805
71	0.3067989273
72	0.3050927757
73	0.3033640204
74	0.3013026027
75	0.2995371971
76	0.2976099141
77	0.2955222938
78	0.2938045404
79	0.2919216308
80	0.2900253751
81	0.2882060896
82	0.286535767
83	0.2848216952
84	0.2834310992
85	0.2818978772
86	0.2805577418
87	0.2791919028
88	0.2778914118
89	0.2767536451
90	0.2753753684
91	0.273938528
92	0.27289108
93	0.2716363944
94	0.270541619
95	0.269215755
96	0.2679640843
97	0.2668598365
98	0.2656932183
99	0.2647283133
100	0.2637400701
101	0.2624707515
102	0.261441137
103	0.2604639478
104	0.2595619626
105	0.2586909778
106	0.2577063979
107	0.2567209201
108	0.255829381
109	0.2550990625
110	0.2540418182
111	0.2531052098
112	0.2523383977
113	0.2514154469
114	0.2506239534
115	0.2500675968
116	0.2493307327
117	0.2487544011
118	0.2478923319
119	0.2469777509
120	0.2462425584
121	0.2455115225
122	0.2446486404
123	0.2440196226
124	0.2433952179
125	0.2427724428
126	0.2419528001
127	0.2412526152
128	0.2405372525
129	0.239820867
130	0.2390990552
131	0.2384363287
132	0.2378282662
133	0.2371819799
134	0.23643087
135	0.2358936758
136	0.235369481
137	0.2348183915
138	0.2343024188
139	0.2338092053
140	0.2330654463
141	0.2325340476
142	0.2318803852
143	0.2312806579
144	0.2308489822
145	0.2304232273
146	0.2298821426
147	0.2294554274
148	0.2289782893
149	0.2284281583
150	0.2280107978
151	0.2274325225
152	0.2269407022
153	0.2264541034
154	0.2260062087
155	0.2255630403
156	0.225174222
157	0.2247029036
158	0.2243158546
159	0.2237458163
160	0.223267864
161	0.222731749
162	0.2221820555
163	0.2217383801
164	0.2212169346
165	0.220891006
166	0.2206329988
167	0.2202463405
168	0.2198105872
169	0.2194642185
170	0.219120428
171	0.2186308675
172	0.2183109412
173	0.2178327111
174	0.2175397397
175	0.2172146033
176	0.2167872257
177	0.2164785116
178	0.2161142021
179	0.2158851319
180	0.2155412598
181	0.2150250266
182	0.214622488
183	0.2142190459
184	0.2139636541
185	0.2134725151
186	0.2131638268
187	0.2127944852
188	0.2125555018
189	0.2120920782
190	0.2116038392
191	0.2112871478
192	0.2109298194
193	0.2106109109
194	0.210349473
195	0.2099655995
